-0.84	-0.02	0.62	0.86520	-0.49952	0.02181	-0.03778	-1	0.144981	2.61454	-0.90081	-0.27011	0.10994	315.00201	271.50934	225.11197
-0.87	-0.04	0.61	0.86321	-0.49837	0.04032	-0.06983	-1	0.13197	2.89584	-0.54894	-0.24782	0.10992	273.82125	76.17857	176.13492
-0.90	-0.06	0.61	0.86002	-0.49653	0.05877	-0.10179	-1	0.139405	2.97413	-0.92841	-0.20454	0.10995	88.79114	331.41949	359.02227
-0.93	-0.08	0.60	0.85566	-0.49401	0.07714	-0.13361	-1	0.105948	3.12812	-0.60742	-0.05909	0.39207	223.60353	290.45219	222.63547
-0.96	-0.09	0.58	0.85011	-0.49081	0.09540	-0.16525	-1	0.1171	3.31650	-0.72946	-0.00254	0.40045	230.98966	280.38630	139.93044
-0.99	-0.11	0.57	0.84340	-0.48694	0.11354	-0.19665	-1	0.104089	3.46593	-0.83419	-0.08600	0.38335	275.26929	18.14718	342.39108
-1.02	-0.13	0.55	0.83553	-0.48239	0.13152	-0.22779	-1	0.133829	3.52805	-0.95509	0.14521	0.10983	271.28015	353.95207	180.23962
-1.05	-0.14	0.53	0.82651	-0.47719	0.14931	-0.25862	-1	0.0966543	3.60546	-1.00045	-0.26485	0.12963	182.33498	357.87570	270.24017
-1.07	-0.16	0.51	0.81635	-0.47132	0.16690	-0.28909	-1	0.0864312	3.58125	-0.80974	-0.06988	0.41338	182.88473	355.98811	192.63718
-1.10	-0.17	0.48	0.80507	-0.46481	0.18427	-0.31916	-1	0.16171	3.51216	-1.00407	-0.26503	0.12875	179.81954	359.35833	277.29868
-1.12	-0.18	0.46	0.79268	-0.45766	0.20137	-0.34879	-1	0.138476	3.47381	-1.02053	-0.24707	0.10992	87.23749	82.67497	183.00469
-1.14	-0.20	0.43	0.77920	-0.44987	0.21820	-0.37794	-1	0.124535	3.35672	-0.99763	0.19394	0.12887	183.56386	358.40891	263.64914
